epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.6269,0.73652,4.47495,0.00887,0.01302,0.50728,0.06603,0.06167,0.43556,4.51842,0.00634,0.000127339,0.000127339,0.000127339
2,155.864,0.57203,3.94916,0.00817,0.59357,0.24219,0.24824,0.22264,0.46509,3.48357,0.0067,0.000232661,0.000232661,0.000232661
3,224.563,0.59681,3.0872,0.00854,0.56704,0.37601,0.40929,0.36987,0.50191,2.87196,0.00726,0.000314884,0.000314884,0.000314884
4,297.499,0.60287,2.68176,0.00901,0.55356,0.49034,0.50015,0.44819,0.47321,2.48255,0.00691,0.00028105,0.00028105,0.00028105
5,369.5,0.59658,2.39692,0.00862,0.5496,0.56304,0.57397,0.51489,0.46316,2.24538,0.00675,0.0002464,0.0002464,0.0002464
6,441.31,0.55636,2.19708,0.00804,0.61376,0.60385,0.62668,0.57146,0.44102,2.05099,0.00655,0.00021175,0.00021175,0.00021175
7,513.581,0.55307,2.03878,0.00786,0.65659,0.62092,0.64946,0.592,0.4291,1.92935,0.00625,0.0001771,0.0001771,0.0001771
8,584.621,0.54892,1.93588,0.0079,0.70097,0.6074,0.67122,0.61424,0.42107,1.83097,0.00619,0.00014245,0.00014245,0.00014245
9,658.202,0.53531,1.86049,0.0076,0.6583,0.66301,0.68726,0.63008,0.42021,1.7668,0.00628,0.0001078,0.0001078,0.0001078
10,739.538,0.52695,1.80974,0.00759,0.67572,0.6527,0.69185,0.6346,0.4146,1.74269,0.00609,7.315e-05,7.315e-05,7.315e-05
11,823.676,0.51807,1.77296,0.00727,0.67164,0.65345,0.69385,0.63733,0.40713,1.72471,0.00599,3.85e-05,3.85e-05,3.85e-05
